feature,mean_shap
EXT_SOURCE_MEAN,0.42326155
AMT_GOODS_PRICE,0.13436317
CODE_GENDER,0.12335118
EXT_SOURCE_3,0.122054
AMT_ANNUITY,0.11784806
CREDIT_GOODS_RATIO,0.115101494
EXT_SOURCE_MIN,0.10946805
max_instalment,0.098979235
n_pos_loans,0.098709024
ORGANIZATION_TYPE,0.09390761
EXT_SOURCE_1,0.08929853
avg_inst_future,0.080319
NAME_EDUCATION_TYPE,0.08007468
avg_credit_sum,0.07871818
EXT_SOURCE_2,0.073172174
DAYS_ID_PUBLISH,0.07248535
FLAG_OWN_CAR,0.065025404
ANNUITY_INCOME_RATIO,0.06279799
DAYS_BIRTH,0.062440045
pct_closed,0.062069885
NAME_FAMILY_STATUS,0.06126038
OCCUPATION_TYPE,0.058664925
avg_annuity,0.056565583
AGE_YEARS,0.05380352
avg_atm_ratio,0.053424213
avg_instalment,0.052741885
REGION_POPULATION_RELATIVE,0.05094876
max_overdue,0.04736554
AMT_CREDIT,0.046875462
avg_min_payment,0.044631984
EMPLOYED_TO_AGE_RATIO,0.04457561
avg_histori_length,0.042618986
n_active_loans,0.040996645
DAYS_LAST_PHONE_CHANGE,0.040675525
OWN_CAR_AGE,0.040542323
FLAG_DOCUMENT_3,0.039927226
FLAG_WORK_PHONE,0.038180083
WEEKDAY_APPR_PROCESS_START,0.037131846
DAYS_REGISTRATION,0.036606103
avg_credit_app_ratio,0.034228183
DAYS_EMPLOYED,0.034079302
pct_refused,0.033753186
EMPLOYED_YEARS,0.03363144
CREDIT_INCOME_RATIO,0.03304474
avg_down_payment,0.032674626
avg_tenor,0.032372843
REGION_RATING_CLIENT_W_CITY,0.031652372
INCOME_PER_PERSON,0.030771887
avg_credit,0.029628947
AMT_REQ_CREDIT_BUREAU_QRT,0.027698303
total_credit_sum,0.027604416
max_last_due,0.027417507
HOUR_APPR_PROCESS_START,0.025739213
min_first_due,0.025644936
EXT_SOURCE_STD,0.025643079
avg_credit_limit,0.024567954
NAME_CONTRACT_TYPE,0.023789652
AMT_INCOME_TOTAL,0.02255592
n_closed_loans,0.02184501
DEF_60_CNT_SOCIAL_CIRCLE,0.020707492
max_annuity,0.01965127
REG_CITY_NOT_LIVE_CITY,0.018867776
n_bureau_loans,0.018584887
max_credit,0.01838068
TOTALAREA_MODE,0.017900713
DEF_30_CNT_SOCIAL_CIRCLE,0.017839797
WALLSMATERIAL_MODE,0.016493684
NAME_INCOME_TYPE,0.016089888
pct_zero_down_payment,0.016024519
sum_credit,0.015857214
bureau_pct_active,0.015455285
n_previous_loans,0.014708641
BASEMENTAREA_MODE,0.014187516
avg_termination_days,0.013874843
LANDAREA_AVG,0.0124528315
YEARS_BUILD_MODE,0.012210963
FLAG_PHONE,0.012177651
